SkillName,Price,bids,is_urgent,is_fulltime,is_bold,is_private
کورل دراو (CorelDraw),500000,25,1,0,0,0
مقاله نویسی,500000,14,1,1,1,0
وبلاگ,500000,14,1,1,1,0
ارسال مقاله,500000,14,1,1,1,0
اسکچاپ (SketchUp),50000000,37,0,0,0,0
طراحی تجربه کاربری (UX),50000000,37,0,0,0,0
طراحی رابط کاربری (UI),50000000,37,0,0,0,0
ادوبی افتر افکت (After Effects),500000,22,0,0,0,0
مای اسکیوال (MySQL),6000000,27,0,0,0,0
پی اچ پی (PHP),6000000,27,0,0,0,0
سی اس اس (CSS),6000000,27,0,0,0,0
برنامه نویسی تحت وب,6000000,27,0,0,0,0
پی اچ پی (PHP),3000000,7,0,0,0,0
سی اس اس (CSS),3000000,7,0,0,0,0
برنامه نویسی تحت وب,3000000,7,0,0,0,0
لاراول (Laravel),7000000,14,0,0,0,0
سئو (SEO),7000000,14,0,0,0,0
برنامه نویسی تحت وب,7000000,14,0,0,0,0
برنامه نویسی تحت ویندوز,7000000,14,0,0,0,0
HTML,800000,10,0,0,0,0
پی اچ پی (PHP),800000,10,0,0,0,0
برنامه نویسی تحت وب,800000,10,0,0,0,0
پی اچ پی (PHP),500000,4,0,0,0,0
برنامه نویسی تحت وب,500000,4,0,0,0,0
راه اندازی سرور لینوکس,500000,4,0,0,0,0
طراحی تبلیغات,500000,53,0,0,0,0
طراحی گرافیک,500000,53,0,0,0,0
مای اسکیوال (MySQL),10000000,40,1,0,1,0
پی اچ پی (PHP),10000000,40,1,0,1,0
سی اس اس (CSS),10000000,40,1,0,1,0
برنامه نویسی تحت وب,10000000,40,1,0,1,0
سئو (SEO),6000000,41,0,0,0,0
وردپرس (WordPress),6000000,41,0,0,0,0
مقاله نویسی,6000000,41,0,0,0,0
نوشتن توضیحات محصول,6000000,41,0,0,0,0
نویسنده,6000000,41,0,0,0,0
طراحی گرافیک,1500000,40,0,1,0,0
فوتوشاپ (Photoshop),1500000,40,0,1,0,0
HTML,500000,43,0,0,0,0
جاوا اسکریپت (JavaScript),500000,43,0,0,0,0
سی اس اس (CSS),500000,43,0,0,0,0
PSD به HTML,500000,43,0,0,0,0
برنامه نویسی تحت وب,500000,43,0,0,0,0
برنامه نویسی تحت وب,15000000,1,0,1,0,0
انگولار (Angular.js),15000000,1,0,1,0,0
طراحی کارت ویزیت,500000,56,0,0,0,0
فوتوشاپ (Photoshop),500000,56,0,0,0,0
مای اسکیوال (MySQL),3000000,50,1,0,1,0
پی اچ پی (PHP),3000000,50,1,0,1,0
سی اس اس (CSS),3000000,50,1,0,1,0
